ID_str,SectionNum,Section,Circumstance,Phraseology,Sender,Receiver,Type,Example,Keywords,Slots
12.2.4-b,12.2.4,12.2.4 RVSM non-approved status reporting,Same as above — requesting level change,Repeat RVSM non-approved status in level change request.,Pilot,ATC,Report / Status,—,RVSM,
12.2.4-c,12.2.4,12.2.4 RVSM non-approved status reporting,Same as above — readback of level clearance,Include non-approved status in readback.,Pilot,ATC,Report / Status,—,,
12.2.7-b,12.2.7,12.2.7 Conditional clearances,Conditional clearance — state condition,(b) Condition (e.g. ‘behind landing aircraft’),ATC,Pilot,Clearance rule,“BEHIND DC9 ON SHORT FINAL…”,,
12.2.7-c,12.2.7,12.2.7 Conditional clearances,Conditional clearance — issue clearance,(c) Clearance instruction,ATC,Pilot,Clearance rule,“LINE UP BEHIND.”,,
12.2.7-d,12.2.7,12.2.7 Conditional clearances,Conditional clearance — reiterate condition,(d) Reiteration of condition.,ATC,Pilot,Clearance rule,"Full example: “SAS 941, BEHIND DC9 ON SHORT FINAL, LINE UP BEHIND.”",,
12.3.1.1-b,12.3.1.1,12.3.1.1 Description of Levels,Assigning altitude in metres,“(number) METRES.”,ATC,Pilot,Level designation,“3 000 METRES.”,METRES,number
12.3.1.1-c,12.3.1.1,12.3.1.1 Description of Levels,Assigning altitude in feet,“(number) FEET.”,ATC,Pilot,Level designation,“5 000 FEET.”,FEET,number
12.3.1.10-b,12.3.1.10,12.3.1.10 Additional Reports,Request report distance from point,“REPORT (distance) MILES (GNSS or DME) FROM (DME station or point).”,ATC,Pilot,Request,“REPORT 10 MILES DME FROM PEST.”,REPORT MILES GNSS DME FROM,"distance, GNSS or DME, DME station or point"
12.3.1.10-c,12.3.1.10,12.3.1.10 Additional Reports,Pilot report distance from point,“(distance) MILES (GNSS or DME) FROM (station or point).”,Pilot,ATC,Report,“10 MILES DME FROM PEST.”,MILES GNSS DME FROM,"distance, GNSS or DME, station or point"
12.3.1.10-d,12.3.1.10,12.3.1.10 Additional Reports,Report passing VOR radial,“REPORT PASSING (three digits) RADIAL (name of VOR) VOR.”,ATC,Pilot,Request,“REPORT PASSING 270 RADIAL BRNO VOR.”,REPORT PASSING RADIAL VOR,"three digits, name of VOR"
12.3.1.10-e,12.3.1.10,12.3.1.10 Additional Reports,Request report of present position,“REPORT (GNSS or DME) DISTANCE FROM (significant point or station).”,ATC,Pilot,Request,“REPORT DME DISTANCE FROM PEST.”,REPORT GNSS DME DISTANCE FROM,"GNSS or DME, significant point or station"
12.3.1.10-f,12.3.1.10,12.3.1.10 Additional Reports,Pilot report present position,“(distance) MILES (GNSS or DME) FROM (station or point).”,Pilot,ATC,Report,“15 MILES DME FROM BUDAPEST.”,MILES GNSS DME FROM,"distance, GNSS or DME, station or point"
12.3.1.11-b,12.3.1.11,12.3.1.11 Aerodrome Information,Runway surface report not current,“(location) RUNWAY SURFACE CONDITION RUNWAY (number) NOT CURRENT.”,ATC,Pilot,Information,—,RUNWAY SURFACE CONDITION NOT CURRENT,"location, number"
12.3.1.11-c,12.3.1.11,12.3.1.11 Aerodrome Information,Landing surface condition,“LANDING SURFACE (condition).”,ATC,Pilot,Information,“LANDING SURFACE SLIPPERY.”,LANDING SURFACE,condition
12.3.1.11-d,12.3.1.11,12.3.1.11 Aerodrome Information,Warning of construction work,“CAUTION CONSTRUCTION WORK (location).”,ATC,Pilot,Warning,“CAUTION CONSTRUCTION WORK NORTH APRON.”,CAUTION CONSTRUCTION WORK,location
12.3.1.11-e,12.3.1.11,12.3.1.11 Aerodrome Information,Caution for runway-side hazards,“CAUTION (reason) RIGHT (or LEFT or BOTH SIDES) OF RUNWAY (number).”,ATC,Pilot,Warning,“CAUTION BIRDS LEFT OF RUNWAY 13.”,CAUTION RIGHT LEFT BOTH SIDES RUNWAY,"reason, or LEFT or BOTH SIDES, number"
12.3.1.11-f,12.3.1.11,12.3.1.11 Aerodrome Information,Caution for work or obstruction,“CAUTION WORK IN PROGRESS (or OBSTRUCTION) (position and advice).”,ATC,Pilot,Warning,“CAUTION WORK IN PROGRESS RUNWAY 31 THRESHOLD.”,CAUTION WORK PROGRESS OBSTRUCTION,"or OBSTRUCTION, position and advice"
12.3.1.11-g,12.3.1.11,12.3.1.11 Aerodrome Information,Runway report including friction,“RUNWAY REPORT AT (time) RUNWAY (number) (precipitant) UP TO (depth) MM. ESTIMATED SURFACE FRICTION (state).”,ATC,Pilot,Runway Condition,"“RUNWAY REPORT AT 1030 RUNWAY 31 SNOW UP TO 2MM, FRICTION MEDIUM.”",RUNWAY REPORT ESTIMATED SURFACE FRICTION,"time, number, precipitant, depth, state"
12.3.1.11-h,12.3.1.11,12.3.1.11 Aerodrome Information,Report braking action by aircraft,“BRAKING ACTION REPORTED BY (aircraft type) AT (time) (state).”,ATC,Pilot,Runway Condition,“BRAKING ACTION REPORTED BY B737 AT 1020 MEDIUM TO POOR.”,BRAKING ACTION REPORTED,"aircraft type, time, state"
12.3.1.11-j,12.3.1.11,12.3.1.11 Aerodrome Information,Tower observation of weather,“TOWER OBSERVES (weather information).”,ATC,Pilot,Weather Observation,“TOWER OBSERVES MODERATE SNOW.”,TOWER OBSERVES,weather information
12.3.1.11-k,12.3.1.11,12.3.1.11 Aerodrome Information,Pilot weather report,“PILOT REPORTS (weather information).”,ATC,Pilot,Weather Relay,“PILOT REPORTS LIGHT FOG.”,PILOT REPORTS,weather information
12.3.1.12-b,12.3.1.12,12.3.1.12 Operational Status of Visual and Non-visual Aids,Report lighting unserviceability,“(type) LIGHTING (unserviceability).”,ATC,Pilot,Advisory,“RUNWAY EDGE LIGHTING UNSERVICEABLE.”,LIGHTING,"type, unserviceability"
12.3.1.12-c,12.3.1.12,12.3.1.12 Operational Status of Visual and Non-visual Aids,Report ILS/GBAS/MLS category service state,“GBAS/SBAS/MLS/ILS CATEGORY (category) (serviceability state).”,ATC,Pilot,Advisory,“ILS CATEGORY I SERVICEABLE.”,GBAS SBAS MLS ILS CATEGORY,"category, serviceability state"
12.3.1.12-d,12.3.1.12,12.3.1.12 Operational Status of Visual and Non-visual Aids,Report taxiway lighting deficiency,“TAXIWAY LIGHTING (description of deficiency).”,ATC,Pilot,Advisory,“TAXIWAY LIGHTING NORTH APRON UNSERVICEABLE.”,TAXIWAY LIGHTING,description of deficiency
12.3.1.12-e,12.3.1.12,12.3.1.12 Operational Status of Visual and Non-visual Aids,Report VASI/PAPI deficiency,“(type of visual approach slope indicator) RUNWAY (number) (description of deficiency).”,ATC,Pilot,Advisory,“PAPI RUNWAY 13 OUT OF SERVICE.”,RUNWAY,"type of visual approach slope indicator, number, description of deficiency"
12.3.1.13-b,12.3.1.13,12.3.1.13 RVSM Operations,Report RVSM approved,“AFFIRM RVSM.”,Pilot,ATC,Report,—,AFFIRM RVSM,
12.3.1.13-c,12.3.1.13,12.3.1.13 RVSM Operations,Report non-approved RVSM status,“NEGATIVE RVSM [(supplementary information)].”,Pilot,ATC,Report,“NEGATIVE RVSM STATE AIRCRAFT.”,NEGATIVE RVSM,supplementary information
12.3.1.13-d,12.3.1.13,12.3.1.13 RVSM Operations,Deny clearance into RVSM airspace,"“UNABLE ISSUE CLEARANCE INTO RVSM AIRSPACE, MAINTAIN (or CLIMB/DESCEND TO) (level).”",ATC,Pilot,Restriction,—,UNABLE ISSUE CLEARANCE INTO RVSM AIRSPACE MAINTAIN CLIMB DESCEND,"or CLIMB/DESCEND TO, level"
12.3.1.13-e,12.3.1.13,12.3.1.13 RVSM Operations,Report turbulence preventing RVSM,“UNABLE RVSM DUE TURBULENCE.”,Pilot,ATC,Report,—,UNABLE RVSM DUE TURBULENCE,
12.3.1.13-f,12.3.1.13,12.3.1.13 RVSM Operations,Report equipment degradation preventing RVSM,“UNABLE RVSM DUE EQUIPMENT.”,Pilot,ATC,Report,—,UNABLE RVSM DUE EQUIPMENT,
12.3.1.13-g,12.3.1.13,12.3.1.13 RVSM Operations,Request to report when RVSM can resume,“REPORT WHEN ABLE TO RESUME RVSM.”,ATC,Pilot,Request,—,REPORT WHEN ABLE RESUME RVSM,
12.3.1.13-h,12.3.1.13,12.3.1.13 RVSM Operations,Confirm readiness to resume RVSM,“CONFIRM ABLE TO RESUME RVSM.”,ATC,Pilot,Query,—,CONFIRM ABLE RESUME RVSM,
12.3.1.13-i,12.3.1.13,12.3.1.13 RVSM Operations,Report readiness to resume RVSM,“READY TO RESUME RVSM.”,Pilot,ATC,Report,—,READY RESUME RVSM,
12.3.1.14-b,12.3.1.14,12.3.1.14 GNSS Service Status,Announce GNSS unavailability,"“BASIC GNSS (or SBAS, or GBAS) UNAVAILABLE FOR (operation) [FROM (time) TO (time) or UNTIL FURTHER NOTICE].”",ATC,Pilot,Advisory,“BASIC GNSS UNAVAILABLE FOR APPROACH UNTIL 1300 UTC.”,BASIC GNSS SBAS GBAS UNAVAILABLE FROM UNTIL FURTHER NOTICE,"or SBAS, or GBAS, operation, time"
12.3.1.14-c,12.3.1.14,12.3.1.14 GNSS Service Status,Pilot reports GNSS unavailable,“BASIC GNSS UNAVAILABLE [DUE TO (reason)].”,Pilot,ATC,Report,“BASIC GNSS UNAVAILABLE DUE TO RAIM ALERT.”,BASIC GNSS UNAVAILABLE DUE,reason
12.3.1.14-d,12.3.1.14,12.3.1.14 GNSS Service Status,Pilot reports GBAS/SBAS unavailable,“GBAS (or SBAS) UNAVAILABLE.”,Pilot,ATC,Report,—,GBAS SBAS UNAVAILABLE,or SBAS
12.3.1.14-e,12.3.1.14,12.3.1.14 GNSS Service Status,Request confirmation of GNSS navigation,“CONFIRM GNSS NAVIGATION.”,ATC,Pilot,Query,—,CONFIRM GNSS NAVIGATION,
12.3.1.14-f,12.3.1.14,12.3.1.14 GNSS Service Status,Pilot confirms GNSS navigation,“AFFIRM GNSS NAVIGATION.”,Pilot,ATC,Report,—,AFFIRM GNSS NAVIGATION,
12.3.1.2-a1,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",Continue instruction to level,“TO (level).”,ATC,Pilot,Clearance,“TO FL350.”,,level
12.3.1.2-a1,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,Continue instruction to level,“TO (level).”,ATC,Pilot,Clearance,“TO FL350.”,,level
12.3.1.2-a2,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",Block level clearance,“TO AND MAINTAIN BLOCK (level) TO (level).”,ATC,Pilot,Clearance,“TO AND MAINTAIN BLOCK FL340 TO FL360.”,MAINTAIN BLOCK,level
12.3.1.2-a2,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,Block level clearance,“TO AND MAINTAIN BLOCK (level) TO (level).”,ATC,Pilot,Clearance,“TO AND MAINTAIN BLOCK FL340 TO FL360.”,MAINTAIN BLOCK,level
12.3.1.2-a3,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",Reach level by time or point,“TO REACH (level) AT (or BY) (time or point).”,ATC,Pilot,Instruction,“REACH FL200 BY 10:15.”,REACH,"level, or BY, time or point"
12.3.1.2-a3,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,Reach level by time or point,“TO REACH (level) AT (or BY) (time or point).”,ATC,Pilot,Instruction,“REACH FL200 BY 10:15.”,REACH,"level, or BY, time or point"
12.3.1.2-a4,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",Reporting passing level,“REPORT LEAVING (or REACHING or PASSING) (level).”,ATC,Pilot,Report request,“REPORT LEAVING FL180.”,REPORT LEAVING REACHING PASSING,"or REACHING or PASSING, level"
12.3.1.2-a4,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,Reporting passing level,“REPORT LEAVING (or REACHING or PASSING) (level).”,ATC,Pilot,Report request,“REPORT LEAVING FL180.”,REPORT LEAVING REACHING PASSING,"or REACHING or PASSING, level"
12.3.1.2-a5,12.3.1.2,"12.3.1.2 Level Changes, Reports and Rates",Specify rate of climb/descent,“AT (number) METRES PER SECOND (or FEET PER MINUTE) [OR GREATER (or LESS)].”,ATC,Pilot,Performance instruction,“AT 500 FEET PER MINUTE OR GREATER.”,METRES PER SECOND FEET MINUTE GREATER LESS,"number, or FEET PER MINUTE, or LESS"
12.3.1.2-a5,12.3.1.2,12.3.1.2 Level Changes / Reports and Rates,Specify rate of climb/descent,“AT (number) METRES PER SECOND (or FEET PER MINUTE) [OR GREATER (or LESS)].”,ATC,Pilot,Performance instruction,“AT 500 FEET PER MINUTE OR GREATER.”,METRES PER SECOND FEET MINUTE GREATER LESS,"number, or FEET PER MINUTE, or LESS"
